observer,genotype,time_off_food_min,bends,additive,food,date,plate,...9,...10
JB,cest-1.2,5,7,NA,OP50,2021-12-07,172,NA,NA
JB,cest-1.2,5,1,NA,OP50,2021-12-07,172,NA,NA
JB,cest-1.2,5,6,NA,OP50,2021-12-07,172,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-12-07,172,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-12-07,172,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-12-07,172,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-12-07,172,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-12-07,172,NA,NA
JB,N2,5,8,NA,OP50,2021-12-07,173,NA,NA
JB,N2,5,6,NA,OP50,2021-12-07,173,NA,NA
JB,N2,5,4,NA,OP50,2021-12-07,173,NA,NA
JB,N2,5,3,NA,OP50,2021-12-07,173,NA,NA
JB,N2,5,5,NA,OP50,2021-12-07,173,NA,NA
JB,N2,5,9,NA,OP50,2021-12-07,173,NA,NA
JB,N2,5,4,NA,OP50,2021-12-07,173,NA,NA
JB,N2,5,4,NA,OP50,2021-12-07,173,NA,NA
JB,N2,5,2,NA,OP50,2021-12-07,173,NA,NA
JB,N2,5,3,NA,OP50,2021-12-07,173,NA,NA
JB,N2,5,2,NA,OP50,2021-12-07,174,NA,NA
JB,N2,5,6,NA,OP50,2021-12-07,174,NA,NA
JB,N2,5,5,NA,OP50,2021-12-07,174,NA,NA
JB,N2,5,7,NA,OP50,2021-12-07,174,NA,NA
JB,N2,5,2,NA,OP50,2021-12-07,174,NA,NA
JB,N2,5,2,NA,OP50,2021-12-07,174,NA,NA
JB,N2,5,2,NA,OP50,2021-12-07,174,NA,NA
JB,N2,5,7,NA,OP50,2021-12-07,174,NA,NA
JB,N2,5,3,NA,OP50,2021-12-07,174,NA,NA
JB,N2,5,3,NA,OP50,2021-12-07,174,NA,NA
JB,cest-1.2,5,7,NA,OP50,2021-12-14,177,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-12-14,177,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-12-14,177,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-12-14,177,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-12-14,177,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-12-14,177,NA,NA
JB,cest-1.2,5,1,NA,OP50,2021-12-14,177,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-12-14,177,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-12-14,177,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-12-14,178,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-12-14,178,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-12-14,178,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-12-14,178,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-12-14,178,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-12-14,178,NA,NA
JB,cest-1.2,5,6,NA,OP50,2021-12-14,178,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-12-14,178,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-12-14,178,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-12-14,178,NA,NA
JB,N2,5,4,NA,OP50,2021-12-14,179,NA,NA
JB,N2,5,6,NA,OP50,2021-12-14,179,NA,NA
JB,N2,5,5,NA,OP50,2021-12-14,179,NA,NA
JB,N2,5,6,NA,OP50,2021-12-14,179,NA,NA
JB,N2,5,2,NA,OP50,2021-12-14,179,NA,NA
JB,N2,5,3,NA,OP50,2021-12-14,179,NA,NA
JB,N2,5,3,NA,OP50,2021-12-14,179,NA,NA
JB,N2,5,2,NA,OP50,2021-12-14,179,NA,NA
JB,N2,5,3,NA,OP50,2021-12-14,179,NA,NA
JB,N2,5,4,NA,OP50,2021-12-14,179,NA,NA
JB,N2,5,3,NA,OP50,2021-12-14,180,NA,NA
JB,N2,5,6,NA,OP50,2021-12-14,180,NA,NA
JB,N2,5,2,NA,OP50,2021-12-14,180,NA,NA
JB,N2,5,2,NA,OP50,2021-12-14,180,NA,NA
JB,N2,5,3,NA,OP50,2021-12-14,180,NA,NA
JB,N2,5,1,NA,OP50,2021-12-14,180,NA,NA
JB,N2,5,1,NA,OP50,2021-12-14,180,NA,NA
JB,N2,5,3,NA,OP50,2021-12-14,180,NA,NA
JB,N2,5,3,NA,OP50,2021-12-14,180,NA,NA
JB,N2,5,3,NA,OP50,2022-01-31,185,NA,NA
JB,N2,5,6,NA,OP50,2022-01-31,185,NA,NA
JB,N2,5,4,NA,OP50,2022-01-31,185,NA,NA
JB,N2,5,1,NA,OP50,2022-01-31,185,NA,NA
